"id","user_id","account_id","montant_investi","marche_id","strategie_id","ordre","total_lot","resultat","commentaire","detail","resultat_devise","created_at","date","image","respect_strategie","duree"
"39","33","13","5.00","19","22","Buy","0.00","Perte",,"Stop Loss touché","5.00","2025-06-18 17:46:51","2025-06-12",,,
"40","33","13","5.00","20","22","Sell","0.00","Gain",,,"15.00","2025-06-18 17:50:22","2025-06-12",,"oui","Intraday 1h à 8h"
"41","33","13","5.00","20","22","Sell","0.00","Gain",,"Take Profit atteint","15.00","2025-06-18 17:52:52","2025-06-13",,"oui","Intraday 1h à 8h"
"42","33","13","5.00","18","22","Sell","0.00","Perte",,"Stop Loss touché","5.00","2025-06-18 17:53:40","2025-06-13",,,"Scalping 0-1h"
"43","33","13","5.00","19","22","Sell","0.00","Perte",,"Stop Loss touché","5.00","2025-06-18 17:54:32","2025-06-16",,,
"44","33","13","5.00","22","22","Sell","0.00","Perte",,"Stop Loss touché","5.00","2025-06-18 17:55:10","2025-06-16",,,
"45","33","13","5.00","22","22","Buy","0.00","Perte",,"Stop Loss touché","5.00","2025-06-18 17:55:51","2025-06-17",,,
"46","8","14","567.00","23","23","Buy","1234.00","Perte","12345","Trailing stop","56.00","2025-06-18 18:18:20","2025-06-18","https://fullmargin.net/wp-content/uploads/2025/06/WhatsApp_Image_2025-06-17_at_20.46.58-removebg-preview.png","oui","Scalping 0-1h"
"47","33","13","3.00","24","22","Sell","0.00","Perte","1- J\'avais un POI H1 qui avait déjà fait TP. Le problème n\'était pas, il était au niveau de ma zone d\'entrée M5. Pour les zones d\'entrée, une fois utilisé, on ne doit plus la tracer.

2- Il ne faut pas confondre le vrai TP et ce qu\'on se fixe en fonction de notre SL. C\'est en fonction du SL normal que je dois mettre mon SL.","Stop Loss touché","3.00","2025-06-19 15:55:50","2025-06-19","https://fullmargin.net/wp-content/uploads/2025/06/Capture-decran-2025-06-19-164813.png","oui",
"48","33","13","3.00","28","24","Sell","0.10","Perte","La tendance était haussière et le prix avait fait un CHOCH et était arrivé sur une forte supply zone. J\'ai pris le trade sur un Pin bar pas bon et ça m\'a bien sorti avant d\'aller au TP. Il faut noter que ça avait déjà SL un premier pin bar avant celui que j\'ai pris.","Stop Loss touché","3.00","2025-06-20 17:39:59","2025-06-20","https://fullmargin.net/wp-content/uploads/2025/06/Capture-decran-2025-06-20-105310.png","non",
"49","37","15","10.00","31","26","Buy","0.20","Gain","Le retracement de Fibo dans la zone des 50 m\'a aidé en M5","Take Profit atteint","150.00","2025-06-23 09:28:04","2025-06-20","https://fullmargin.net/wp-content/uploads/2025/06/V90.jpg","oui","Intraday 1h à 8h"
"50","37","15","25.00","29","25","Sell","0.50","Perte","J\'etais agité","Stop Loss touché","25.00","2025-06-23 09:30:14","2025-06-22","https://fullmargin.net/wp-content/uploads/2025/06/BTC-V100.jpg","non","Scalping 0-1h"
"51","37","16","100.00","32","26","Buy","0.05","Gain",,"Break-even","50.00","2025-06-23 09:31:15","0000-00-00",,"oui",
"59","38","20","12.50","47","30","Sell","0.06","Perte","La tendance générale en H4 est baissière mais on observe un retracement vers une zone H4 ce qui donne une tendance haussière en H1.

Les cours sont rentrés dans une zone baissière H1 qui coïncide avec la zone baissière H4 préalablement identifiée. Je suis passé dans les timeframes inférieurs pour trouver une entrée. 
J\'ai trouvé une zone d\'entrée baissière en M4 plus une confirmation de Dark cloud.

Je rentre en position avec le lot minimal de 0.01 en prenant 3 positions et j\'attendais un retracement pour  ajouter deux autres positions pour faire un lot total de 0.05 (2,75$ = 12,5$ pour les 5 positions) ce qui fut le cas.
Cependant la zone M4 fut cassée et les cours allaient vers une zone M2 située au dessus donc j\'ai clôturé 3 positions parmi les 5 dans l\'optique de prendre une autre position dans la zone M2.
Les cours réagissent comme prévu à la zone M2 avec un Tweezer Top comme confirmation donc je prends une position de plus.
L\'analyse s\'est déroulée comme prévu et les cours ont chutés jusqu\'à proche de ma zone cependant je n\'étais pas sur mon ordinateur pour couper le trade. J\'ai finalement déplacer mon SL pour rattraper la perte précédente et les cours m\'ont sorti en BE avec une perte de 0.40 au total.","Break-even","-0.42","2025-06-28 23:53:49","2025-06-28","https://fullmargin.net/wp-content/uploads/2025/06/fx-vol-99-trade-28-06-25-1.png","oui","Intraday 1h à 8h"
"60","38","20","42.75","46","30","Buy","0.05","Gain","Tendance haussière + OB haussier en H1Zone d\'entrée en M2 dans l\'OB H1 avec une confirmation de Tweezer mais qui est en réalité un pin bar haussier.Je rentre en position (3) avec un lot de 0.01. Cependant les cours ont chutés vers une zone M3 donc j\'ai attendu pour prendre d\'autres positions dans cette zone m3 (3) pour un total de 6 positions (0.06).Le risque total des positions est de 42,75 ce qui représente 20% de mon capital de 219$.Le Tp n\'a pas été atteint mais l\'objectif initial du RR 1:3 a été atteint me donnant un profit de 151$ au lieu de 128$.J\'ai clôturé le trade.","Take Profit atteint","151.23","2025-06-29 14:16:42","2025-06-29","https://fullmargin.net/wp-content/uploads/2025/06/fx-vol-80-trade-29-06-25.png","oui","Intraday 1h à 8h"
"61","1","9","1000.00","25","19","Sell","0.00","Perte",,"Trailing Stop","950.01","2025-06-30 13:32:57","0000-00-00",,,
"62","38","20","12.00","47","30","Sell","0.05","Perte","Tendance globale H4 baissière, tendance haussière vers une zone H4 et H1.
Zone M3 dans laquelle il y a eu une confirmation de pin bar. Je suis rentré en position avec 4 positions de 0.01 pour un total de 0.04 (8$) mais je me suis fait sortir par les cours avec un total de 7,16$ de perte.

La cause que je trouve est qu\'il y a plusieurs autres zones plus au dessus. J\'attends de prendre un nouveau trade dans les zones au dessus.","Stop Loss touché","-10.47","2025-06-30 18:04:18","2025-06-30","https://fullmargin.net/wp-content/uploads/2025/07/fx-vol-99-trade-28-06-25.png","oui","Scalping 0-1h"
"63","38","20","12.00","47","30","Sell","0.03","Gain","(SUITE DU PREMIER TRADE)

Je suis rentré en position 4 fois avec le lot minimal avec risque total de 16$ dans la zone en M3 qui se trouvait  la plus proche après que les cours ne m\'aient sorti.  Cependant les cours ont cassé cette zone et sont allés chercher une zone M2 qui se situait à l\'extrémité de l\'OB baissier H1. En cassant la zone, un stop que j\'avais mis au bout de la 2e zone M3 a été touché et une position fut fermé avec une perte de 3.31$. Ce qui m\'a laissé 3 positions ouvertes vers la zone M2 qui se situait à l\'extrémité de l\'OB baissier H1.

Cette zone M2 coïncidait avec une zone d\'entrée M15 qui avait les même caractéristiques. Dans les deux cas la confirmation était un pin bar baissier, j\'ai donc laissé les cours espérant que la zone ne soit pas cassé.
Les cours ont bien évolué  jusqu\'à presque touché mon TP mais je me suis dit qu\'il allait le touché donc j\'ai laissé le trades. Cependant les cours se sont retournés à la hausse.","Break-even","9.18","2025-07-01 00:10:26","2025-06-30","https://fullmargin.net/wp-content/uploads/2025/07/fx-vol-99-trade-2-30-06-25-1.png","non","Intraday 1h à 8h"
"64","38","22","4.00","51","30","Sell","8.00","Gain","OB baissier dans une tendance H1.
Zone d\'entrée en M4 + Tweezer Top
Deux positions de 4 lot avec un risque de 2$ chacun (8$)

Les cours ont tardés à démarrer et je suis sorti en SL sur une position (1.81$) et l\'autre position est revenu en gain cependant je l\'ai coupé à 3.28$","Take Profit atteint","1.47","2025-07-01 00:18:35","2025-06-30","https://fullmargin.net/wp-content/uploads/2025/07/V50-30-06-2025.png","oui","Intraday 1h à 8h"
"65","38","22","10.00","52","30","Sell","0.01","Gain","Le marché était dans une sorte de range en H4 et en H1 les cours sont rentré dans une OB baissière.
En M3, j\'ai vu une zone baissière et un pin bar qui s\'est formé proche de la zone puis un petit retracement et la bougi qui suivait celle du retracement était baissière donc je suis rentré en position avec le lot minimal (0.005) pour un risque de 5$ et dans l\'évolution des cours  j\'ai pris une autre position de 0.005 avec un stop à 6$. Total risque(11$).

TP atteint, profit 30.64 $","Take Profit atteint","30.00","2025-07-01 00:56:22","2025-06-30","https://fullmargin.net/wp-content/uploads/2025/07/V50-1s-30-06-2025.png","oui","Scalping 0-1h"
"66","38","22","8.14","58","30","Buy","0.00","Perte","Tendance haussière H1 + OB haussier.
Zone d\'entrée M4 + Tweezer 
Pise de position lot 0.00, SL à 8,14$ 
Résultat SL",,"-8.14","2025-07-01 07:25:15","2025-07-01","https://fullmargin.net/wp-content/uploads/2025/07/V25-1s-01-07-2025.png","oui","Intraday 1h à 8h"
"67","33","24","3.00","66","24","Sell","0.00","Gain","C\'est Crajack qui a pris",,"9.00","2025-07-01 12:33:44","2025-07-01",,"oui",
"68","33","24","3.00","28","24","Sell","0.00","Gain",,"Take Profit atteint","9.00","2025-07-01 12:34:52","2025-07-01",,"oui",
"69","33","24","3.00","19","24","Sell","0.00","Gain","C\'est Crajack qui a pris","Take Profit atteint","9.00","2025-07-01 12:40:08","2025-07-01",,"oui",
"70","33","13","4.00","24","22","Buy","0.10","Gain","Nickel","Take Profit atteint","12.00","2025-07-02 13:32:52","2025-07-02","https://fullmargin.net/wp-content/uploads/2025/07/Capture-decran-2025-07-02-135916.png","oui",
"71","33","25","3.00","67","22","Buy","0.00","Perte","Englobante ne respectait pas les conditions et j\'ai négligé le fait qu\'on était en contre tendance.","Stop Loss touché","3.00","2025-07-02 21:13:19","2025-07-02","https://fullmargin.net/wp-content/uploads/2025/07/Capture-decran-2025-07-02-153211.png","non",
"72","33","25","3.00","67","22","Buy","0.00","Perte","Englobante ne respectait pas les conditions et j\'ai négligé le fait qu\'on était en contre tendance.","Stop Loss touché","3.00","2025-07-02 21:14:13","2025-07-02","https://fullmargin.net/wp-content/uploads/2025/07/Capture-decran-2025-07-02-153211-1.png","non",
"75","41","28","20.00","73","34","Sell","0.01","Gain",,"Take Profit atteint","355.00","2025-07-03 20:41:14","2025-07-03",,"oui","Scalping 0-1h"
"76","41","29","50.00","74","35","Sell","0.50","Perte",,"Break-even","43.00","2025-07-03 20:42:55","0000-00-00",,"non","Intraday 1h à 8h"
"82","45","30","17.00","87","37","Buy","0.10","Gain","Cool","Erreur de discipline","20.00","2025-07-03 21:17:24","2025-07-03",,,"Intraday 1h à 8h"
"83","43","31","10.00","101","39","Buy","0.06","Gain",,"Take Profit atteint","48.00","2025-07-03 21:28:43","2025-06-25",,"oui","Swing 1j - 7j"
"84","48","33","1.06","123","40","Sell","0.20","Gain",,"Take Profit atteint","6.41","2025-07-03 21:36:14","2025-06-23",,"non","Intraday 1h à 8h"
"85","48","33","0.34","124","40","Sell","0.00","Gain",,"Break-even","3.14","2025-07-03 21:38:28","2025-06-23",,"non","Intraday 1h à 8h"
"86","49","34","50.00","125","41","Buy","0.03","Gain","J\'ai pris la position après une prise de liquidité","Take Profit atteint","450.00","2025-07-03 21:39:35","0000-00-00","https://fullmargin.net/wp-content/uploads/2025/07/Screenshot_20250701-110427.jpg","oui","Swing 1j - 7j"
"87","49","36","50.00","134","45","Buy","0.12","Gain",,"Take Profit atteint","250.00","2025-07-03 21:49:08","0000-00-00",,"oui","Swing 1j - 7j"
"89","53","39","30.00","141","50","Buy","0.05","Gain","J\'ai pris le trade en respectant ma stratégie de l\'analyse technique","Take Profit atteint","80.00","2025-07-03 22:47:15","2025-07-03","https://fullmargin.net/wp-content/uploads/2025/07/1000039717.png","oui","Swing 1j - 7j"
"90","53","39","30.00","141","50","Buy","0.05","Gain","J\'ai pris le trade en respectant ma stratégie de l\'analyse technique","Take Profit atteint","80.00","2025-07-03 22:47:22","2025-07-03","https://fullmargin.net/wp-content/uploads/2025/07/1000039717-1.png","oui","Swing 1j - 7j"
"91","55","40","30.00","143","51","Sell","2.00","Gain","J\'ai coupé la position avant atteinte de mon tp. Panique lors d\'un retournement","Erreur de discipline","210.00","2025-07-03 22:50:03","2025-07-03",,"oui","Swing 1j - 7j"
"94","73","55","20.00","192","74","Sell","0.01","Gain","C\'est le jour ou  j\'ai découvert le point d\'entrée","Take Profit atteint","18.00","2025-07-04 00:53:22","2025-07-03",,"oui","Intraday 1h à 8h"
"95","73","55","18.00","201","74","Buy","0.01","Gain","j\'ai par défini mon tp et j\'ai vite fermer ma position",,"21.00","2025-07-04 01:28:42","2025-07-04",,"oui","Intraday 1h à 8h"
"97","42","38","1.50","135","125","Buy","0.01","Perte","Positions prise la veille et vu ce Matin en pertes","Stop Loss touché","10.00","2025-07-04 06:33:38","2025-07-04","https://fullmargin.net/wp-content/uploads/2025/07/1000371493.png","oui","Scalping 0-1h"
"98","57","41","150.00","145","55","Buy","0.02","Gain","j ai pas eu de confirmation d entrer","Break-even","40.00","2025-07-04 06:54:20","2025-07-07","https://fullmargin.net/wp-content/uploads/2025/07/07.07.2025_10.12.00_REC-nn.png","oui","Swing 1j - 7j"
"99","33","25","3.00","266","22","Buy","0.00","Perte","Englobement non réglementaire","Stop Loss touché","3.00","2025-07-04 08:49:45","2025-07-03",,"non",
"100","33","25","3.00","266","22","Buy","0.00","Gain",,"Take Profit atteint","9.50","2025-07-04 08:50:44","2025-07-03","https://fullmargin.net/wp-content/uploads/2025/07/Capture-decran-2025-07-03-164652.png","oui",
"101","33","25","4.23","267","22","Sell","0.00","Perte","Englobement invalide","Stop Loss touché","4.23","2025-07-04 08:54:48","2025-07-03","https://fullmargin.net/wp-content/uploads/2025/07/Capture-decran-2025-07-03-164934.png","non",
"102","96","80","50.00","273","104","Buy","0.50","Gain","Le marché a depassé les 200 points","Take Profit atteint","100.00","2025-07-04 09:09:21","2025-06-27",,"oui","Intraday 1h à 8h"
"103","94","79","50.00","268","99","Buy","0.20","Gain","Arrèt mecanique du trade","Take Profit atteint","52.00","2025-07-04 09:09:36","2025-07-01","https://fullmargin.net/wp-content/uploads/2025/07/1.jpg","oui","Intraday 1h à 8h"
"104","96","80","50.00","273","104","Buy","0.50","Gain","Le marché a fait plus de point","Take Profit atteint","100.00","2025-07-04 09:11:46","2025-07-01",,"oui","Intraday 1h à 8h"
"105","96","80","50.00","273","104","Buy","0.50","Gain",,"Take Profit atteint","100.00","2025-07-04 09:13:21","2025-07-03",,"oui","Intraday 1h à 8h"
"106","105","92","35.84","305","117","Sell","0.79","Gain","L\'un de mes meilleurs setup surtout quand les HTF sont dans la même tendances et que H4 fait son FM c\'est très facile de venir prendre le peak de H1 sur le YDH de la journée précédente","Take Profit atteint","172.72","2025-07-04 11:14:50","2025-07-03","https://fullmargin.net/wp-content/uploads/2025/07/V2503-07-2025.png","oui","Swing 1j - 7j"
"107","82","98","1.00","330","129","Sell","0.01","Perte","Stop loss mal placé","Stop Loss touché","4.06","2025-07-04 11:33:13","2025-07-04","https://fullmargin.net/wp-content/uploads/2025/07/Screenshot_20250704-000246.jpg","oui","Intraday 1h à 8h"
"108","38","20","6.00","44","30","Buy","0.04","Perte","Tendance haussière H4 & H1 + OB haussier
Zone Haussière M5 mais le Tweezer n\'était pas parfait et je suis rentré quand même et j\'ai fait un SL","Stop Loss touché","-5.14","2025-07-04 11:43:00","2025-07-04","https://fullmargin.net/wp-content/uploads/2025/07/fx-vol-20-trade-04-07-25.png","oui","Scalping 0-1h"
"109","82","98","1.00","330","129","Sell","0.01","Perte","Entre précipité","Stop Loss touché","3.70","2025-07-04 11:46:57","2025-07-04",,"oui","Scalping 0-1h"
"110","107","93","70.40","293","136","Sell","0.85","Gain","j\'ai été calme et discipliné","Take Profit atteint","188.00","2025-07-04 11:48:12","2025-07-03",,"oui","Intraday 1h à 8h"
"111","107","93","174.00","293","136","Sell","1.00","Perte","j\'ai été super indiscipline j\'ai même pas attendu les news pour rentrer en position","Stop Loss touché","-174.00","2025-07-04 11:53:38","2025-07-02",,"non","Scalping 0-1h"
"112","82","98","1.00","330","129","Sell","0.01","Perte","Stop loss mal placé","Stop Loss touché","3.54","2025-07-04 11:54:03","2025-07-04",,"oui","Scalping 0-1h"
"113","99","85","15.00","292","118","Buy","0.10","Gain","stratégie ignorée","Take Profit atteint","29.00","2025-07-04 12:18:13","2025-07-04",,"non","Intraday 1h à 8h"
"114","105","92","2451.28","309","117","Sell","28.00","Gain","j\'ai anticipé le Trade je suis rentré sur la 1ère leg",,"4902.28","2025-07-04 13:10:57","2025-07-04","https://fullmargin.net/wp-content/uploads/2025/07/V10-1s04-07-2025.png","oui","Swing 1j - 7j"
"115","94","79","15.00","268","99","Buy","0.10","Perte",,"Stop Loss touché","15.00","2025-07-04 13:47:59","2025-07-04","https://fullmargin.net/wp-content/uploads/2025/07/2.jpg","oui","Intraday 1h à 8h"
"116","99","85","100.00","292","118","Buy","50.00","Perte",,"Stop Loss touché","317.00","2025-07-04 13:53:14","2025-07-04",,"non","Intraday 1h à 8h"
"117","99","85","15.00","290","118","Sell","0.01","Gain",,"Take Profit atteint","14.00","2025-07-04 13:57:31","2025-07-04",,"non","Scalping 0-1h"
"118","99","85","20.00","292","118","Buy","0.10","Gain",,"Take Profit atteint","35.00","2025-07-04 14:05:10","2025-07-04",,"non","Intraday 1h à 8h"
"120","105","92","4592.74","298","116","Sell","14.16","Gain",,,"9177.50","2025-07-04 15:36:38","2025-07-04",,"oui","Swing 1j - 7j"
"122","134","113","3.00","380","156","Sell","0.00","Gain","ce trade est très vite aller","Break-even","16.00","2025-07-04 15:54:43","2025-07-04","https://fullmargin.net/wp-content/uploads/2025/07/R_75_2025-07-04_16-52-18.png","oui",
"123","64","45","49.44","161","63","Buy","1.39","Perte","MEME STEUP AVACT STL PLUS LARGE.  MAIS SUREMENT UNE ANNONCE ECONOMOIQUE .","Stop Loss touché","49.44","2025-07-04 16:02:15","2020-07-02","https://fullmargin.net/wp-content/uploads/2025/07/BTCUSD_Fri-04-Jul-25_18-00-43.png","oui","Intraday 1h à 8h"
"124","64","45","49.10","161","63","Sell","0.87","Gain","CV","Take Profit atteint","100.30","2025-07-04 16:23:03","2020-07-02","https://fullmargin.net/wp-content/uploads/2025/07/BTCUSD_Fri-04-Jul-25_18-21-10.png","oui","Intraday 1h à 8h"
"125","99","85","15.00","290","165","Sell","0.01","Gain","Objectif atteint","Take Profit atteint","14.00","2025-07-04 16:32:14","2025-07-04",,"oui","Scalping 0-1h"
"127","141","121","10.00","424","168","Buy","0.01","Perte","je bien appris la leçons","Erreur de discipline","85.00","2025-07-04 17:02:39","2025-07-04",,"oui","Intraday 1h à 8h"
"128","64","45","49.95","161","63","Buy","1.91","Gain","STRATE RESPECTE","Take Profit atteint","112.92","2025-07-04 17:19:01","2025-07-06",,"oui","Intraday 1h à 8h"
"129","108","129","33.65","475","177","Buy","0.20","Gain",,"Take Profit atteint","70.34","2025-07-04 20:03:46","2025-07-07","https://fullmargin.net/wp-content/uploads/2025/07/XAUUSD_2025-07-07_11-26-20.png","oui","Scalping 0-1h"
"131","156","133","4.00","511","195","Sell","0.01","Gain",,"Take Profit atteint","18.00","2025-07-04 22:31:28","2025-06-18",,"oui","Swing 1j - 7j"
"132","156","133","4.50","492","195","Buy","0.01","Gain","Le setup à été bien respecté ! On s\'approchait de la grande trendline baissier donc il fallait pas être gourmand","Take Profit atteint","20.00","2025-07-04 22:45:21","2025-06-18",,"oui","Swing 1j - 7j"
"133","38","438","5.00","55","30","Sell","1.00","Gain","Tendance baissière + OB baissier
Zone d\'entrée baissière en M5 et M4 presque pareille, une fois dans la zone M4 les cours ont fait un TWeezer et j\'ai attendu le retracement pour rentrer. 
Le tweezer M4 était un pin Bar en M5 même si la mèche du PB a effleurée de justesse la zone M5.

Je suis rentré avec une position 0.5 et j\'attendais que les cours reviennent dans la zone pour prendre une 2e position mais les cours sont partis directement dans mon sens. 
Les cours ont beaucoup jonglés et je suis rentré à nouveau dans un OB que j\'ai vu en M5 et un PB. SL total de 5$

TP avec 21$ mais je suis sortis trop tôt car j\'ai eu un peu peur vu le temps que ça prenait et tout mais là les cours descendent encore.","Take Profit atteint","21.00","2025-07-04 22:50:04","2025-07-04","https://fullmargin.net/wp-content/uploads/2025/07/V100-12-07-2025.png","oui","Intraday 1h à 8h"
"134","156","133","5.40","492","195","Sell","0.01","Gain","L\'opportunité était valable","Take Profit atteint","38.00","2025-07-04 22:51:32","2025-06-23",,"oui","Swing 1j - 7j"
"135","154","132","5.00","479","189","Buy","0.15","Perte",,"Stop Loss touché","-5.00","2025-07-04 23:16:24","2025-07-04",,"oui","Intraday 1h à 8h"
"136","149","137","24.00","518","199","Sell","0.24","Gain",,"Break-even","29.76","2025-07-04 23:38:55","2025-07-04","https://fullmargin.net/wp-content/uploads/2025/07/GBPUSD_2025-07-05_02-32-40_e76c5.png","oui","Intraday 1h à 8h"
"137","136","139","4.56","403","161","Buy","0.01","Perte","j\'ai totalement respecter mon plan d\'action et le marché est venu chercher mon stop loss et repartir dans mon sens mais je crois avoir pas mal gérer le compte mm si j\'ai risquer une trop grande partie du capital","Stop Loss touché","4.56","2025-07-05 00:36:57","2025-07-05",,"oui","Scalping 0-1h"
"138","161","140","4.00","521","200","Buy","0.01","Gain","Bon analyses","Take Profit atteint","8.86","2025-07-05 00:38:21","2025-06-27",,"oui","Scalping 0-1h"
"140","164","141","13.00","527","203","Buy","0.00","Gain","Beau setup","Take Profit atteint","32.00","2025-07-05 00:50:08","2025-06-29",,"oui","Intraday 1h à 8h"
"141","161","140","3.00","521","200","Sell","0.01","Perte","C\'est faire un petit Stop loss","Stop Loss touché","3.68","2025-07-05 00:52:51","2025-06-27",,"oui","Scalping 0-1h"
"143","161","140","2.00","521","200","Sell","0.01","Perte","C\'est fait un petit stop loss","Stop Loss touché","2.82","2025-07-05 00:55:37","2025-06-27",,"oui",
"145","161","140","4.00","521","200","Sell","0.01","Gain","c\'est faire un bon analise","Take Profit atteint","8.76","2025-07-05 01:00:36","2025-06-27",,"oui","Intraday 1h à 8h"
"147","161","140","3.01","522","200","Sell","0.10","Perte","rentrer sur liquidite","Stop Loss touché","3.93","2025-07-05 01:08:44","2025-06-30",,"oui","Scalping 0-1h"
"148","161","140","5.00","522","206","Buy","0.01","Perte","J\'ai écouté mes émissions","Erreur de discipline","19.95","2025-07-05 01:18:06","2025-07-01",,"non","Scalping 0-1h"
"149","161","140","3.00","522","200","Buy","0.01","Gain","J\'ai respecté mon plan","Take Profit atteint","7.00","2025-07-05 01:20:16","2025-07-02",,"oui","Scalping 0-1h"
"150","161","140","6.00","522","200","Buy","0.01","Perte","On m\'a donné un signe de entrée grosse Stop loss","Stop Loss touché","6.75","2025-07-05 01:24:00","2025-07-02",,"oui","Scalping 0-1h"
"151","161","140","6.00","522","200","Buy","0.01","Gain","Patientez trop de temps avant de les récupérer","Take Profit atteint","12.41","2025-07-05 01:26:46","2025-07-02",,"oui","Intraday 1h à 8h"
"152","161","140","3.00","522","200","Buy","0.01","Gain","Entrée sniper pas de stress patienter jusqu\'à mon OB",,"12.22","2025-07-05 01:29:52","2025-07-03",,"oui","Scalping 0-1h"
"153","161","140","3.00","522","200","Sell","0.01","Gain","J\'ai traiter panden  annonces économiques","Take Profit atteint","15.55","2025-07-05 01:33:15","2025-07-03",,"oui","Scalping 0-1h"
"154","141","121","10.00","424","168","Sell","1.00","Perte","apprendre a patiente","Erreur de discipline","25.00","2025-07-05 01:33:20","2025-07-05",,"non","Intraday 1h à 8h"
"156","161","140","3.00","521","200","Buy","0.01","Gain","Pas de stress","Take Profit atteint","10.47","2025-07-05 01:35:03","2025-07-03",,"oui","Scalping 0-1h"
"160","161","138","2.00","522","200","Buy","0.01","Perte","c\'est rentrer par emession","Stop Loss touché","2.86","2025-07-05 01:44:46","2025-07-04",,"non","Scalping 0-1h"
"161","161","138","2.00","521","200","Buy","0.01","Gain","pas de volatilite","Break-even","1.27","2025-07-05 01:47:00","2025-07-04",,"oui","Intraday 1h à 8h"
"162","125","148","100.00","539","209","Buy","50.00","Gain",,"Take Profit atteint","350.00","2025-07-05 02:32:43","2025-07-05","https://fullmargin.net/wp-content/uploads/2025/07/Screenshot_20250705-012900.jpg","oui","Intraday 1h à 8h"
"163","164","141","50.00","528","202","Buy","0.00","Gain",,,"85.00","2025-07-05 03:37:30","2025-07-01","https://fullmargin.net/wp-content/uploads/2025/07/Volatility-100-1s-IndexH4.png","oui","Intraday 1h à 8h"
"165","42","38","0.82","140","125","Sell","0.04","Gain","J\'ai été patient sur ce trade","Take Profit atteint","47.00","2025-07-05 07:03:20","2025-07-05","https://fullmargin.net/wp-content/uploads/2025/07/1000373516.png","oui","Swing 1j - 7j"
"166","173","152","20.00","542","213","Buy","0.05","Gain","cool","Take Profit atteint","60.00","2025-07-05 07:08:50","0000-00-00",,,
"167","178","155","50.00","546","215","Buy","0.00","Gain",,"Trailing Stop","150.00","2025-07-05 07:51:53","0000-00-00",,"oui","Swing 1j - 7j"
"168","42","156","117.00","550","125","Buy","1.00","Gain","Position oublier ,Entrer en snipe","Break event","21.00","2025-07-05 09:48:44","2025-07-05","https://fullmargin.net/wp-content/uploads/2025/07/1000373683.png","oui","Swing 1j - 7j"
